"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","uniprot"
"Ris2","Ris2","Cdt1","CDT1","chromatin licensing and DNA replication factor 1","8","org.Mm.eg.db","Ris2","Q8BUQ1;Q8BX29;Q8R3V0;Q8R4E8;Q8R4E9"
"Defb7","Defb7","Defb7;Defb10","","defensin beta 7; defensin beta 10","8","org.Mm.eg.db","Defb7","Q91V70;A2A4E8;Q8R2I8"
"Sema3d","Sema3d","Sema3d","SEMA3D","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D","5","org.Mm.eg.db","Sema3d","Q8BH34;Q8BMF6"
"2610019A05Rik","2610019A05Rik","Strada","STRADA","STE20-related kinase adaptor alpha","11","org.Mm.eg.db","2610019A05Rik","Q3UUJ4;Q6VEU7;Q9D0G8"
"Itpr3","Itpr3","Itpr3","ITPR3","inositol 1,4,5-triphosphate receptor 3","17","org.Mm.eg.db","Itpr3","P70227;Q5DWM4;Q8CED5;Q91Z08"
"Cpeb1","Cpeb1","Cpeb1","CPEB1","cytoplasmic polyadenylation element binding protein 1","7","org.Mm.eg.db","Cpeb1","F6X7Z3;Q059Z2;P70166;Q8C5P9"
"D5Bwg0860e","D5Bwg0860e","Rufy3","RUFY3","RUN and FYVE domain containing 3","5","org.Mm.eg.db","D5Bwg0860e","A0A0G2JFT8;Q9D394;Q3U348;Q3UF96;Q6PE64;Q8VD10"
"Aox1","Aox1","Aox1","AOX1","aldehyde oxidase 1","1","org.Mm.eg.db","Aox1","G3X8P9;Q8R387"
"Sgol2","Sgol2","Sgo2a","SGO2","shugoshin 2A","1","org.Mm.eg.db","Sgol2","Q7TSY8;Q811I4;Q8C9C4;Q8CGJ4;Q9CS55"
"Sf3a3","Sf3a3","Sf3a3","SF3A3","splicing factor 3a, subunit 3","4","org.Mm.eg.db","Sf3a3","Q58E59;Q9D554"
"BC032204","BC032204","Fermt3","FERMT3","fermitin family member 3",NA,"org.Mm.eg.db","BC032204","Q3TEE6;Q8K1B8"
"Qscn6","Qscn6","Qsox1","QSOX1","quiescin Q6 sulfhydryl oxidase 1","1","org.Mm.eg.db","Qscn6","Q3TDY9;Q3TE19;Q3TR29;Q3UEL4;Q8BND5;Q8K041;Q9DBL6"
"Sgce","Sgce","Sgce","SGCE","sarcoglycan, epsilon","6","org.Mm.eg.db","Sgce","Q3V1W5;F8WGM3;Q6L8N9;F6R6P2;Q4H438;E9PX46;Q4H437;D3Z572;F6WKE4;O70258;Q921G2"
"Slc5a1","Slc5a1","Slc5a1","SLC5A1","solute carrier family 5 (sodium/glucose cotransporter), member 1","5","org.Mm.eg.db","Slc5a1","Q8CCA7;Q9QXI6"
"Pla2g4a","Pla2g4a","Pla2g4a","PLA2G4A","phospholipase A2, group IVA (cytosolic, calcium-dependent)","1","org.Mm.eg.db","Pla2g4a","Q9DBX5;P47713;Q3UMQ1"
"2700017A04Rik","2700017A04Rik","Slf1","SLF1","SMC5-SMC6 complex localization factor 1","13","org.Mm.eg.db","2700017A04Rik","Q497V2;Q5XK30;Q8BHY5;Q8BQM6;Q8R3P9;Q921Y9"
"Ppargc1b","Ppargc1b","Ppargc1b","PPARGC1B","peroxisome proliferative activated receptor, gamma, coactivator 1 beta","18","org.Mm.eg.db","Ppargc1b","B2RWT8;Q8C1C0;Q8VHJ7"
"Zfp533","Zfp533","Zfp385b","ZNF385B","zinc finger protein 385B","2","org.Mm.eg.db","Zfp533","G5E8Y8;Q8BXJ8;A2AS57;Q8BWQ7"
"Pdgfc","Pdgfc","Pdgfc","PDGFC","platelet-derived growth factor, C polypeptide","3","org.Mm.eg.db","Pdgfc","Q8CI19;Q99JM4;Q9JHV8;Q9QY71"
"Abcg1","Abcg1","Abcg1","ABCG1","ATP binding cassette subfamily G member 1","17","org.Mm.eg.db","Abcg1","Q0VDW9;Q64343"
"Sema5a","Sema5a","Sema5a","SEMA5A","sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A","15","org.Mm.eg.db","Sema5a","Q3UPZ0;Q62217"
"F7","F7","F7","F7","coagulation factor VII","8","org.Mm.eg.db","F7","P70375;Q542C2;Q61109"
"Cacnb1","Cacnb1","Cacnb1","CACNB1","calcium channel, voltage-dependent, beta 1 subunit","11","org.Mm.eg.db","Cacnb1","Q6DD95;A2A542;Q3U2N3;I2FKE4;A2A544;O88517;Q7TPF2;Q8R3Z5;Q8R3Z6;Q9EPT9;A2A545;A2A543"
"6330403K07Rik","6330403K07Rik","6330403K07Rik","LOC728392","RIKEN cDNA 6330403K07 gene","11","org.Mm.eg.db","6330403K07Rik","Q8VBZ2;Q9D3C2"
"Apeg1","Apeg1","Speg","SPEG","SPEG complex locus","1","org.Mm.eg.db","Apeg1","A0A087WSE3;Q62407;A0A0R4J1J0;E9QQ25;Q3TPH8;Q6P5V1;Q80TF7;Q80ZN0;Q8BZF4;Q9EQJ5"
"Pigr","Pigr","Pigr","PIGR","polymeric immunoglobulin receptor","1","org.Mm.eg.db","Pigr","O70570"
"Cd44","Cd44","Cd44","CD44","CD44 antigen","2","org.Mm.eg.db","Cd44","E9QKM8;Q80X37;Q3U468;Q3U8S1;Q3UNN2;A2APM1;A2APM4;A2APM5;A2APM3;A2APM2;P15379;Q05732;Q61395;Q62060;Q62061;Q62062;Q62063;Q62408;Q62409;Q64296;Q99J14;Q9QYX8"
"Arhgdib","Arhgdib","Arhgdib","ARHGDIB","Rho, GDP dissociation inhibitor beta","6","org.Mm.eg.db","Arhgdib","Q3TEB3;Q61599"
"Zc3hdc8","Zc3hdc8","Zc3h8","ZC3H8","zinc finger CCCH type containing 8","2","org.Mm.eg.db","Zc3hdc8","Q3TPC9;Q80X92;Q9JJ48"
"Sfrs5","Sfrs5","Srsf5","SRSF5","serine and arginine-rich splicing factor 5","12","org.Mm.eg.db","Sfrs5","O35326;Q640L9;Q9D8S5"
"Maged2","Maged2","Maged2","MAGED2","MAGE family member D2","X","org.Mm.eg.db","Maged2","Q3TFU3;Q9ER67;Q99PB4"
"C230043N17Rik","C230043N17Rik","Ido2","IDO2","indoleamine 2,3-dioxygenase 2","8","org.Mm.eg.db","C230043N17Rik","A4UHF3;E9QKA9;Q8R0V5"
"Gstm6","Gstm6","Gstm6","","glutathione S-transferase, mu 6","3","org.Mm.eg.db","Gstm6","Q9D5J8;G5E8M7;D3YVP9;D3YVP8;O35660;O35661;Q8K0C3"
"Pdlim3","Pdlim3","Pdlim3","PDLIM3","PDZ and LIM domain 3","8","org.Mm.eg.db","Pdlim3","A0A1B0GSX6;O70209"
"Ripk1","Ripk1","Ripk1","RIPK1","receptor (TNFRSF)-interacting serine-threonine kinase 1","13","org.Mm.eg.db","Ripk1","F7D1J2;Q3U0J3;Q60855;Q8CD90"
"Eps8l3","Eps8l3","Eps8l3","EPS8L3","EPS8-like 3","3","org.Mm.eg.db","Eps8l3","Q3TJ14;Q91WL0"
"BC029892","BC029892","Rpl23a","RPL23A","ribosomal protein L23A",NA,"org.Mm.eg.db","BC029892","P62751;Q4V9X9;Q5M9M5"
"Rgs2","Rgs2","Rgs2","RGS2","regulator of G-protein signaling 2","1","org.Mm.eg.db","Rgs2","O08849;Q544S7;Q91WX1;Q9JL24"
"Immt","Immt","Immt","IMMT","inner membrane protein, mitochondrial","6","org.Mm.eg.db","Immt","Q3TVZ5;E9Q800;Q3TEY5;E9QAY6;Q66JS4;Q7TNE2;Q8C7V1;Q8CAQ8;Q8CCI0;Q8CDA8;Q9D9F6"
"Sh3bgrl3","Sh3bgrl3","Sh3bgrl3","SH3BGRL3","SH3 domain binding glutamic acid-rich protein-like 3","4","org.Mm.eg.db","Sh3bgrl3","Q91VW3"
"4930568P13Rik","4930568P13Rik","Nckap1l","NCKAP1L","NCK associated protein 1 like","15","org.Mm.eg.db","4930568P13Rik","Q8K1X4"
"Chtf18","Chtf18","Chtf18","CHTF18","CTF18, chromosome transmission fidelity factor 18","17","org.Mm.eg.db","Chtf18","A0A0R4J0I4;Q8BIW9;Q8R1R7;E9PVJ3"
"9030611N15Rik","9030611N15Rik","Akr1c14","","aldo-keto reductase family 1, member C14","13","org.Mm.eg.db","9030611N15Rik","Q91WT7"
"Evi2a","Evi2a","Evi2a","EVI2A","ecotropic viral integration site 2a","11","org.Mm.eg.db","Evi2a","P20934;Q3TBB7;Q6DKP1"
"Dbt","Dbt","Dbt","DBT","dihydrolipoamide branched chain transacylase E2","3","org.Mm.eg.db","Dbt","Q7TND9;P53395;Q3TMF5"
"Plekha4","Plekha4","Plekha4","PLEKHA4","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4","7","org.Mm.eg.db","Plekha4","D3YTU1;D3Z3Y7;A0A1B0GSC3;A0A1B0GSM9"
"AA960558","AA960558","","",NA,NA,"org.Mm.eg.db","AA960558",NA
"Acsl1","Acsl1","Acsl1","ACSL1","acyl-CoA synthetase long-chain family member 1","8","org.Mm.eg.db","Acsl1","P41216;Q6GTG6;Q9DBK5;D3Z041"
"Pdlim2","Pdlim2","Pdlim2","PDLIM2","PDZ and LIM domain 2","14","org.Mm.eg.db","Pdlim2","Q8R1G6"
"Zfp131","Zfp131","Zfp131","ZNF131","zinc finger protein 131","13","org.Mm.eg.db","Zfp131","Q3UYZ4;Q80UU7;Q8C8D0;Q8K3J5;Q9D042"
"Cd5l","Cd5l","Cd5l","CD5L","CD5 antigen-like","3","org.Mm.eg.db","Cd5l","O35300;O35301;Q3TXN5;Q505P6;Q91W05;Q9QWK4"
"6030408C04Rik","6030408C04Rik","G2e3","G2E3","G2/M-phase specific E3 ubiquitin ligase","12","org.Mm.eg.db","6030408C04Rik","E9QK24;Q5RJY2;Q6ZPT7;Q8BNA4;E9Q7C2;E9Q7E5"
"Kif5b","Kif5b","Kif5b","KIF5B","kinesin family member 5B","18","org.Mm.eg.db","Kif5b","O08711;Q5BL10;Q61580;Q61768"
"Osbpl8","Osbpl8","Osbpl8","OSBPL8","oxysterol binding protein-like 8","10","org.Mm.eg.db","Osbpl8","A0A0R4J150;B9EJ86;G3X9N6;Q69ZJ4;A0A5F8MPC5"
"2310016C16Rik","2310016C16Rik","Gpx8","GPX8","glutathione peroxidase 8 (putative)","13","org.Mm.eg.db","2310016C16Rik","A0A338P7G6;Q8VE68;Q9D7B7"
"Akr1d1","Akr1d1","Akr1d1","AKR1D1","aldo-keto reductase family 1, member D1","6","org.Mm.eg.db","Akr1d1","Q8VCX1"
"Cstb","Cstb","Cstb","CSTB","cystatin B","10","org.Mm.eg.db","Cstb","Q3UAW2;Q62426"
"A430107O13Rik","A430107O13Rik","Cped1","CPED1","cadherin-like and PC-esterase domain containing 1","6","org.Mm.eg.db","A430107O13Rik","A0A2Z4MSH0;B2RX70;A0A2Z4MSG2;Q8BMB4"
"Tmsb4x","Tmsb4x","Tmsb4x","TMSB4X","thymosin, beta 4, X chromosome","X","org.Mm.eg.db","Tmsb4x","P20065;Q6ZWX2"
"Dsg2","Dsg2","Dsg2","DSG2","desmoglein 2","18","org.Mm.eg.db","Dsg2","A2RRJ0;O55111;Q8K069;Q8R517"
"Ly86","Ly86","Ly86","LY86","lymphocyte antigen 86","13","org.Mm.eg.db","Ly86","A0A0U5J712;O88188;Q4VAF1;Q5D046"
"Acp1","Acp1","Acp1","ACP1","acid phosphatase 1, soluble","12","org.Mm.eg.db","Acp1","Q561M1;O88739;O88740;Q4VAI2;Q9D358;Q9QWF5"
"Ets1","Ets1","Ets1","ETS1","E26 avian leukemia oncogene 1, 5' domain","9","org.Mm.eg.db","Ets1","E9PWI8;Q8K3Q9;A0A5F8MPR7;Q921D8;Q8BVW8;P27577;Q540Q5;Q61403"
"6720480D16Rik","6720480D16Rik","Zfp160","ZNF665","zinc finger protein 160","17","org.Mm.eg.db","6720480D16Rik","E9Q459"
"BC026666","BC026666","Trim31","TRIM31","tripartite motif-containing 31",NA,"org.Mm.eg.db","BC026666","Q8R0K2"
"Flna","Flna","Flna","FLNA","filamin, alpha","X","org.Mm.eg.db","Flna","Q6KAM8;B7FAV0;B9EKP5;O54934;Q7TQI1;Q8BLK1;Q8BTM8;Q8BTN7;Q8VHX5;Q8VHX8;Q99KQ2;B7FAU9"
"Knsl7","Knsl7","Kif15","KIF15","kinesin family member 15","9","org.Mm.eg.db","Knsl7","O35065;Q6P9L6;Q70MX5"
"Sprrl9","Sprrl9","Lce1h","","late cornified envelope 1H","3","org.Mm.eg.db","Sprrl9","Q9D6R3"
"Ggta1","Ggta1","Ggta1","GGTA1","glycoprotein galactosyltransferase alpha 1, 3","2","org.Mm.eg.db","Ggta1","P23336;Q3TXW0;Q91V22;A2AUR0;Q8C2H7;Q91W00;Q9DBU1"
"Arf4","Arf4","Arf4","ARF4","ARF GTPase 4","14","org.Mm.eg.db","Arf4","P36403;P61750;Q14BR4;Q3TGC2;Q9CXX3;Q9DD04"
"Bche","Bche","Bche","BCHE","butyrylcholinesterase","3","org.Mm.eg.db","Bche","Q499C7;Q03311;Q543J3"
"Slc43a3","Slc43a3","Slc43a3","SLC43A3","solute carrier family 43, member 3","2","org.Mm.eg.db","Slc43a3","A2AVZ9;A6PX00;Q5FW65;Q8C345;Q9JLF3"
"Pfkp","Pfkp","Pfkp","PFKP","phosphofructokinase, platelet","13","org.Mm.eg.db","Pfkp","Q8C605;Q3TNA9;Q3U4P1;Q3U7G4;Q4KUG1;Q543K8;Q8C5I6;Q9JI86;Q9WUA3"
"Tnfsf13b","Tnfsf13b","Tnfsf13b","TNFSF13B","tumor necrosis factor (ligand) superfamily, member 13b","8","org.Mm.eg.db","Tnfsf13b","Q3U2H2;A0A0U5J6R6;Q3KP92;Q7TQ58;Q9WU72"
"Slc38a2","Slc38a2","Slc38a2","SLC38A2","solute carrier family 38, member 2","15","org.Mm.eg.db","Slc38a2","Q3TEX3;Q6PFR1;Q6ZPS7;Q810U9;Q8CC66;Q8CD21;Q8CFE6"
"Procr","Procr","Procr","PROCR","protein C receptor, endothelial","2","org.Mm.eg.db","Procr","Q4FK76;Q64695;Q9WV33;Q8K357"
"2810004A10Rik","2810004A10Rik","Il17rd","IL17RD","interleukin 17 receptor D","14","org.Mm.eg.db","2810004A10Rik","B2RRY7;Q8JZL1;Q8K447;Q8R5J8;Q3V0D5"
"Npdc1","Npdc1","Npdc1","NPDC1","neural proliferation, differentiation and control 1","2","org.Mm.eg.db","Npdc1","A2AJ23;Q64322;Q925Q2;Q99J69;Q8CFL4"
"Galnt3","Galnt3","Galnt3","GALNT3","polypeptide N-acetylgalactosaminyltransferase 3","2","org.Mm.eg.db","Galnt3","P70419;Q3UXL2;Q80V55"
"Cdk5rap2","Cdk5rap2","Cdk5rap2","CDK5RAP2","CDK5 regulatory subunit associated protein 2","4","org.Mm.eg.db","Cdk5rap2","Q0VGR5;A2AVA1;Q6PCN1;Q6ZPL0;Q8K389"
"Abcc3","Abcc3","Abcc3","ABCC3","ATP-binding cassette, sub-family C member 3","11","org.Mm.eg.db","Abcc3","B2RX12;J3QML2;Q3U1W8;Q56PH0;Q59DK9;Q59DL0;Q5SUF4;Q80ZK8;A0A0R4J015"
"Nkd1","Nkd1","Nkd1","NKD1","naked cuticle 1","8","org.Mm.eg.db","Nkd1","E9Q5K6;Q3TLD6;Q8K200;Q91Y46;Q99MH6"
"H2-DMb1","H2-DMb1","H2","","histocompatibility-2, MHC",NA,"org.Mm.eg.db","H2-DMb1",NA
"Eaf2","Eaf2","Eaf2","EAF2","ELL associated factor 2","16","org.Mm.eg.db","Eaf2","Q7TN80;Q91ZD6;Q99KD2;K4DI60"
"D13Ertd275e","D13Ertd275e","Parp8","PARP8","poly (ADP-ribose) polymerase family, member 8","13","org.Mm.eg.db","D13Ertd275e","F8WIK2;Q3UD82;Q3UDE4;Q3UDU5;Q8VCB5;Q9CYY3;B2X2E0"
"Hpxn","Hpxn","Hpx","HPX","hemopexin","7","org.Mm.eg.db","Hpxn","P97824;Q3UKP2;Q8WUP0;Q91X72"
"Cited2","Cited2","Cited2","CITED2","Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2","10","org.Mm.eg.db","Cited2","O35740;O35741;O35742;O35743;O55198;Q6PGA9"
"Banp","Banp","Banp","BANP","BTG3 associated nuclear protein","8","org.Mm.eg.db","Banp","Q8VBU8;F6V6B6;O88973;Q3U4R5;Q91YZ1;Q9ES51"
"Serpina11","Serpina11","Serpina11","SERPINA11","serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 11","12","org.Mm.eg.db","Serpina11","E9QK54"
"Cd84","Cd84","Cd84","CD84","CD84 antigen","1","org.Mm.eg.db","Cd84","A0A0R4J1S4;B7ZMQ1;E9Q9E8;A0A0R4J0K5;B2RU38"
"MGC59407","MGC59407","","",NA,NA,"org.Mm.eg.db","MGC59407",NA
"Ifit3","Ifit3","Ifit3","IFIT3","interferon-induced protein with tetratricopeptide repeats 3","19","org.Mm.eg.db","Ifit3","Q4FJY6;Q5FW82;Q64345;Q99L62"
"Zfp597","Zfp597","Zfp597","ZNF597","zinc finger protein 597","16","org.Mm.eg.db","Zfp597","E9Q6S0"
"Cacna1s","Cacna1s","Cacna1s","CACNA1S","calcium channel, voltage-dependent, L type, alpha 1S subunit","1","org.Mm.eg.db","Cacna1s","E9Q7B5;E9QPX8;F7CNJ1;F8VQE0;Q02789;Q3UPG8;Q99240;A0A8I4RSM0"
"Ehd3","Ehd3","Ehd3","EHD3","EH-domain containing 3","17","org.Mm.eg.db","Ehd3","Q8K590;Q9QXY6"
"Bmp2","Bmp2","Bmp2","BMP2","bone morphogenetic protein 2","2","org.Mm.eg.db","Bmp2","P21274;Q3V1I4;Q497W8"
"0610039P13Rik","0610039P13Rik","Hvcn1","HVCN1","hydrogen voltage-gated channel 1","5","org.Mm.eg.db","0610039P13Rik","Q3U2S8;Q9DCE4"
"Pkd1l3","Pkd1l3","Pkd1l3","PKD1L3","polycystic kidney disease 1 like 3","8","org.Mm.eg.db","Pkd1l3","A2A258;Q2EG98;E9QPA5;Q2EG93;Q2EG94;Q2EG95;Q2EG96;Q2EG97;Q2EG99;Q7TN87"
"Plxnd1","Plxnd1","Plxnd1","PLXND1","plexin D1","6","org.Mm.eg.db","Plxnd1","Q3UH93;Q68HV1;Q6ZQ83"
"Sacm1l","Sacm1l","Sacm1l","SACM1L","SAC1 suppressor of actin mutations 1-like (yeast)","9","org.Mm.eg.db","Sacm1l","A0A5F8MPK9;Q80TQ1;Q99K33;Q9EP69"
"Myo1e","Myo1e","Myo1c","MYO1C","myosin IC","11","org.Mm.eg.db","Myo1e","Q9WTI7;O08571;O08834;Q3TBQ4;Q3U231;Q5ND46;Q5ND48;Q5ND49;Q9ERB6;Q9QW54"
"Ccr5","Ccr5","Ccr5","CCR5","C-C motif chemokine receptor 5","9","org.Mm.eg.db","Ccr5","O35313;O35891;P51682;P97308;P97405;Q3TDA4;Q3ZAZ8;Q61867"
"9230112O05Rik","9230112O05Rik","Prune1","PRUNE1","prune exopolyphosphatase","3","org.Mm.eg.db","9230112O05Rik","Q80VU0;Q8BIW1"
"E430007K15Rik","E430007K15Rik","Slc35c1","SLC35C1","solute carrier family 35, member C1","2","org.Mm.eg.db","E430007K15Rik","F6QFJ0;Q8C0J3;Q8R2I1;Q3UMP5;Q78H73;Q8BLX4;Q8BV24"
"AI316785","AI316785","","",NA,NA,"org.Mm.eg.db","AI316785",NA
"Lass1","Lass1","Cers1","CERS1","ceramide synthase 1","8","org.Mm.eg.db","Lass1","A2RT05;P27545"
"Zfp97","Zfp97","Zfp97","","zinc finger protein 97","17","org.Mm.eg.db","Zfp97","E9PVC4;E9PZP6"
"Hmgb2","Hmgb2","Hmgb2","HMGB2","high mobility group box 2","8","org.Mm.eg.db","Hmgb2","P30681;Q3UAZ7;Q3UXT1;Q9EQD5"
"Tcte1l","Tcte1l","Dynlt3","DYNLT3","dynein light chain Tctex-type 3","X","org.Mm.eg.db","Tcte1l","P56387;Q542J7;Q9D2T5"
"Cenph","Cenph","Cenph","CENPH","centromere protein H","13","org.Mm.eg.db","Cenph","Q8R3K9;Q9D079;Q9D0N1;Q9QYM8"
"Acacb","Acacb","Acacb","ACACB","acetyl-Coenzyme A carboxylase beta","5","org.Mm.eg.db","Acacb","Q3UHC8;E9Q4Z2;Q6JIZ0"
"Mpp5","Mpp5","Pals1","PALS1","protein associated with LIN7 1, MAGUK family member","12","org.Mm.eg.db","Mpp5","B2RRY4;Q9JLB2"
"1700019P21Rik","1700019P21Rik","1700019P21Rik","","RIKEN cDNA 1700019P21 gene","1","org.Mm.eg.db","1700019P21Rik",NA
"Col14a1","Col14a1","Col14a1","COL14A1","collagen, type XIV, alpha 1","15","org.Mm.eg.db","Col14a1","Q3UVS2;Q80X19;Q8C6X3;Q9WV05;B7ZNH7"
"Kntc2","Kntc2","Ndc80","NDC80","NDC80 kinetochore complex component","17","org.Mm.eg.db","Kntc2","A0A3B2WAS6;Q3TQT6;Q3UWM5;Q99P70;Q9D0F1"
"Stmn1","Stmn1","Stmn1","STMN1","stathmin 1","4","org.Mm.eg.db","Stmn1","P54227;Q545B6;Q91XT3;Q9DCP3;D3Z5N2;Q9CYU5"
"Slco3a1","Slco3a1","Slco3a1","SLCO3A1","solute carrier organic anion transporter family, member 3a1","7","org.Mm.eg.db","Slco3a1","D3YXA8;Q3TLX2;Q3U7W0;Q505P2;Q544H3;Q8R3L5;Q9CTV3;Q9JKV0"
"Ggh","Ggh","Ggh","GGH","gamma-glutamyl hydrolase","4","org.Mm.eg.db","Ggh","B1AWC1;B9EKG3;Q9Z0L7;Q9Z0L8"
"Ddah2","Ddah2","Ddah2","DDAH2","DDAH family member 2, ADMA independent","17","org.Mm.eg.db","Ddah2","Q99LD8;O08972"
"2010002N04Rik","2010002N04Rik","Smim3","SMIM3","small integral membrane protein 3","18","org.Mm.eg.db","2010002N04Rik","Q3TAJ2;Q3U1M0;Q921E9;Q99PE5"
"Socs3","Socs3","Socs3","SOCS3","suppressor of cytokine signaling 3","11","org.Mm.eg.db","Socs3","O35718;P97803;Q3U7X5;Q3U9J8"
"Timp3","Timp3","Timp3","TIMP3","tissue inhibitor of metalloproteinase 3","10","org.Mm.eg.db","Timp3","P39876;Q54AE5;Q91WL9"
"Impa2","Impa2","Impa2","IMPA2","inositol monophosphatase 2","18","org.Mm.eg.db","Impa2","Q3TAU6;Q3U3B7;Q91UZ5"
"Tnfsf8","Tnfsf8","Tnfsf8","TNFSF8","tumor necrosis factor (ligand) superfamily, member 8","4","org.Mm.eg.db","Tnfsf8","P32972;Q3U033;Q544U1"
"Eml1","Eml1","Eml1","EML1","echinoderm microtubule associated protein like 1","12","org.Mm.eg.db","Eml1","B9EKL9;Q05AF8;Q05BC3;Q0P5V3;D3Z4J9"
"C130086A10","C130086A10","Triqk","TRIQK","triple QxxK/R motif containing","4","org.Mm.eg.db","C130086A10","B2B9E1"
"Plk1","Plk1","Plk1","PLK1","polo like kinase 1","7","org.Mm.eg.db","Plk1","Q07832;Q3TPZ2;Q3UG81"
"Drctnnb1a","Drctnnb1a","Hycc1","HYCC1","hyccin PI4KA lipid kinase complex subunit 1","5","org.Mm.eg.db","Drctnnb1a","Q6P9N1;A0A0G2JH12;D3Z481;Q3TTP7;Q3U2M0;Q99NC4"
"Sox13","Sox13","Sox13","SOX13","SRY (sex determining region Y)-box 13","1","org.Mm.eg.db","Sox13","D3Z7I3;Q04891;Q922L3"
"Sh3bgrl","Sh3bgrl","Sh3bgrl","SH3BGRL","SH3-binding domain glutamic acid-rich protein like","X","org.Mm.eg.db","Sh3bgrl","A2ALN7;Q3U9A8;Q3UB57;Q9JJU8"
"Acate2","Acate2","Acot9","ACOT9","acyl-CoA thioesterase 9","X","org.Mm.eg.db","Acate2","Q545G7;Q9R0X4;Q9WTJ0;Q9WUZ8"
"2610029K21Rik","2610029K21Rik","Gpatch4","GPATCH4","G patch domain containing 4","3","org.Mm.eg.db","2610029K21Rik","Q3TFK5;Q8VCN2;Q9CU32;Q9D3L4"
"Luc7l2","Luc7l2","Luc7l2","LUC7L2","LUC7-like 2 (S. cerevisiae)","6","org.Mm.eg.db","Luc7l2","Q3UGK2;Q3UZ17;Q7TNC4;Q05CX5;Q3U5L2;E9Q715;Q99LM5;Q99PC3"
"Arid5a","Arid5a","Arid5a","ARID5A","AT-rich interaction domain 5A","1","org.Mm.eg.db","Arid5a","Q3TZS4;Q3U0F0;Q3U0S2;Q3U108;Q3UDA3;Q3UDZ6;Q8BI45;Q8BYB5;Q8R2W1;D3Z0W0"
"Ppargc1a","Ppargc1a","Ppargc1a","PPARGC1A","peroxisome proliferative activated receptor, gamma, coactivator 1 alpha","5","org.Mm.eg.db","Ppargc1a","A0A0G2JGG3;L0AM20;L0AN96;L0APB0;O70343;Q3UP72"
"Lbp","Lbp","Lbp","LBP","lipopolysaccharide binding protein","2","org.Mm.eg.db","Lbp","A2AC66;Q61805;Q99KA0"
"Spnb3","Spnb3","Sptbn2","SPTBN2","spectrin beta, non-erythrocytic 2","19","org.Mm.eg.db","Spnb3","Q3UGZ4;Q68FG2"
"Soat1","Soat1","Soat1","SOAT1","sterol O-acyltransferase 1","1","org.Mm.eg.db","Soat1","Q06EZ3;Q5XK32;Q61263;Q64180"
"2310047C17Rik","2310047C17Rik","","",NA,NA,"org.Mm.eg.db","2310047C17Rik",NA
"Col16a1","Col16a1","Col16a1","COL16A1","collagen, type XVI, alpha 1","4","org.Mm.eg.db","Col16a1","A3KFV7;A3KFV5;Q8BLX7;Q9CZS2;E9Q0X4"
"1110025F24Rik","1110025F24Rik","Nmral1","NMRAL1","NmrA-like family domain containing 1","16","org.Mm.eg.db","1110025F24Rik","D3YU12;G5E8S7;Q8K2T1;Q8BVF0;Q9CZP2"
"Evl","Evl","Evl","EVL","Ena-vasodilator stimulated phosphoprotein","12","org.Mm.eg.db","Evl","P70429;Q6PB99;Q9ERU8;F8WJB9;E9PVP4"
"Laptm4b","Laptm4b","Laptm4b","LAPTM4B","lysosomal-associated protein transmembrane 4B","15","org.Mm.eg.db","Laptm4b","B2CZK6;Q91XQ6"
"Nfatc1","Nfatc1","Nfatc1","NFATC1","nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1","18","org.Mm.eg.db","Nfatc1","B5B2N5;Q3UME0;B5B2N2;B5B2N4;O70345;O88942;B5B2N7;Q9DBQ6;Q6P7T9"
"D19Wsu12e","D19Wsu12e","Ermp1","ERMP1","endoplasmic reticulum metallopeptidase 1","19","org.Mm.eg.db","D19Wsu12e","B2RXD6;Q3UVK0;Q6ZPH9;Q8BIW0;Q8BYX7"
"Pank3","Pank3","Pank3","PANK3","pantothenate kinase 3","11","org.Mm.eg.db","Pank3","Q5SXA7;Q7M752;Q8R2W9"
"2310067E08Rik","2310067E08Rik","Endod1","ENDOD1","endonuclease domain containing 1","9","org.Mm.eg.db","2310067E08Rik","Q4VA96;Q69ZY2;Q8C522;Q8C5M1;Q8VE35;Q3UQH3"
"Pdir","Pdir","Pdia5","PDIA5","protein disulfide isomerase associated 5","16","org.Mm.eg.db","Pdir","Q921X9"
"Atp8b2","Atp8b2","Atp8b2","ATP8B2","ATPase, class I, type 8B, member 2","3","org.Mm.eg.db","Atp8b2","D3YXQ5;E9QAL4;P98199"
"4930432O21Rik","4930432O21Rik","Zfp943","","zinc finger prtoein 943","17","org.Mm.eg.db","4930432O21Rik","Q6NZP4"
"Rab19","Rab19","Rab19","RAB19","RAB19, member RAS oncogene family","6","org.Mm.eg.db","Rab19","O35697;P35294;Q6GTV2"
"D330012D11Rik","D330012D11Rik","Btnl9","BTNL9","butyrophilin-like 9","11","org.Mm.eg.db","D330012D11Rik","B7ZC64;B9EKA9;Q80V04;Q811T7;Q8BJE2"
