"","gene_name","gene_title","gene_biotype","chr","pos","tx_len","map"
"DYNC1H1","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","protein_coding","14","101964572","8574","14q32.31"
"DYNC1I2","DYNC1I2","dynein cytoplasmic 1 intermediate chain 2","protein_coding","2","171687754","3979","2q31.1"
"DYNC1LI1","DYNC1LI1","dynein cytoplasmic 1 light intermediate chain 1","protein_coding","3","32525970","2330","3p22.3"
"DYNC1LI2","DYNC1LI2","dynein cytoplasmic 1 light intermediate chain 2","protein_coding","16","66720895","2726","16q22.1"
"DYNLL1","DYNLL1","dynein light chain LC8-type 1","protein_coding","12","120469841","756","12q24.31"
"DYNLL2","DYNLL2","dynein light chain LC8-type 2","protein_coding","17","58083418","1522","17q22"
"DYNLRB1","DYNLRB1","dynein light chain roadblock-type 1","protein_coding","20","34516421","1077","20q11.22"
"DYNLT1","DYNLT1","dynein light chain Tctex-type 1","protein_coding","6","158636474","758","6q25.3"
"DYNLT3","DYNLT3","dynein light chain Tctex-type 3","protein_coding","X","37838835","2216","Xp11.4"
"DYRK1A","DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A","protein_coding","21","37367556","3201","21q22.13"
"E2F3","E2F3","E2F transcription factor 3","protein_coding","6","20403678","3542","6p22.3"
"E2F4","E2F4","E2F transcription factor 4","protein_coding","16","67192154","2100","16q22.1"
"E4F1","E4F1","E4F transcription factor 1","protein_coding","16","2223487","2379","16p13.3"
"EAPP","EAPP","E2F associated phosphoprotein","protein_coding","14","34515928","1348","14q13.1"
"EARS2","EARS2","glutamyl-tRNA synthetase 2, mitochondrial","protein_coding","16","23522012","3264","16p12.2"
"EBF2","EBF2","EBF transcription factor 2","protein_coding","8","25841725","3758","8p21.2"
"EBNA1BP2","EBNA1BP2","EBNA1 binding protein 2","protein_coding","1","43164173","1543","1p34.2"
"ECE1","ECE1","endothelin converting enzyme 1","protein_coding","1","21217249","4626","1p36.12"
"ECH1","ECH1","enoyl-CoA hydratase 1","protein_coding","19_KQ458386v1_fix","225093","1169","19q13.2"
"ECHDC1","ECHDC1","ethylmalonyl-CoA decarboxylase 1","protein_coding","6","127288711","2185","6q22.33"
"ECHDC2","ECHDC2","enoyl-CoA hydratase domain containing 2","protein_coding","1","52895909","1988","1p32.3"
"ECHS1","ECHS1","enoyl-CoA hydratase, short chain 1","protein_coding","10","133362484","1329","10q26.3"
"ECI1","ECI1","enoyl-CoA delta isomerase 1","protein_coding","16","2239402","1026","16p13.3"
"ECI2","ECI2","enoyl-CoA delta isomerase 2","protein_coding","6","4115692","1316","6p25.2"
"ECSIT","ECSIT","ECSIT signaling integrator","protein_coding","19","11505928","1472","19p13.2"
"ECT2","ECT2","epithelial cell transforming 2","protein_coding","3","172750725","3883","3q26.31"
"EDC3","EDC3","enhancer of mRNA decapping 3","protein_coding","15","74630557","3896","15q24.1"
"EDC4","EDC4","enhancer of mRNA decapping 4","protein_coding","16","67873051","4083","16q22.1"
"EDEM1","EDEM1","ER degradation enhancing alpha-mannosidase like protein 1","protein_coding","3","5187706","2862","3p26.1"
"EDF1","EDF1","endothelial differentiation related factor 1","protein_coding","9","136862118","543","9q34.3"
"EDRF1","EDRF1","erythroid differentiation regulatory factor 1","protein_coding","10","125719708","3280","10q26.2"
"EEA1","EEA1","early endosome antigen 1","protein_coding","12","92770636","8003","12q22"
"EED","EED","embryonic ectoderm development","protein_coding","11","86244383","1793","11q14.2"
"EEF1A1","EEF1A1","eukaryotic translation elongation factor 1 alpha 1","protein_coding","6","73515749","2440","6q13"
"EEF1AKMT1","EEF1AKMT1","EEF1A lysine methyltransferase 1","protein_coding","13","20728930","827","13q12.11"
"EEF1B2","EEF1B2","eukaryotic translation elongation factor 1 beta 2","protein_coding","2","206159593","943","2q33.3"
"EEF1D","EEF1D","eukaryotic translation elongation factor 1 delta","protein_coding","8","143579693","1715","8q24.3"
"EEF1E1","EEF1E1","eukaryotic translation elongation factor 1 epsilon 1","protein_coding","6","8073359","852","6p24.3"
"EEF1G","EEF1G","eukaryotic translation elongation factor 1 gamma","protein_coding","11","62559595","1586","11q12.3"
"EEF2","EEF2","eukaryotic translation elongation factor 2","protein_coding","19","3976055","3158","19p13.3"
"EEF2K","EEF2K","eukaryotic elongation factor 2 kinase","protein_coding","16_KV880768v1_fix","816311","5649","16p12.2"
"EEF2KMT","EEF2KMT","eukaryotic elongation factor 2 lysine methyltransferase","protein_coding","16","5084299","2323","16p13.3"
"EEFSEC","EEFSEC","eukaryotic elongation factor, selenocysteine-tRNA specific","protein_coding","3","128153480","2216","3q21.3"
"EEPD1","EEPD1","endonuclease/exonuclease/phosphatase family domain containing 1","protein_coding","7","36153253","4687","7p14.2"
"EFEMP1","EFEMP1","EGF containing fibulin extracellular matrix protein 1","protein_coding","2","55865966","2998","2p16.1"
"EFHD1","EFHD1","EF-hand domain family member D1","protein_coding","2","232606056","1707","2q37.1"
"EFHD2","EFHD2","EF-hand domain family member D2","protein_coding","1","15409887","2419","1p36.21"
"EFR3A","EFR3A","EFR3 homolog A","protein_coding","8","131904092","5414","8q24.22"
"EFTUD2","EFTUD2","elongation factor Tu GTP binding domain containing 2","protein_coding","17","44850286","4166","17q21.31"
"EGLN1","EGLN1","egl-9 family hypoxia inducible factor 1","protein_coding","1","231363756","5142","1q42.2"
"EGR1","EGR1","early growth response 1","protein_coding","5","138465478","3136","5q31.2"
"EGR2","EGR2","early growth response 2","protein_coding","10","62811995","2841","10q21.3"
"EGR3","EGR3","early growth response 3","protein_coding","8","22687658","4049","8p21.3"
"EHBP1","EHBP1","EH domain binding protein 1","protein_coding","2","62705651","3393","2p15"
"EHBP1L1","EHBP1L1","EH domain binding protein 1 like 1","protein_coding","11","65576037","5180","11q13.1"
"EHD1","EHD1","EH domain containing 1","protein_coding","11","64852726","3256","11q13.1"
"EHD4","EHD4","EH domain containing 4","protein_coding","15","41895932","2465","15q15.1"
"EHHADH","EHHADH","enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase","protein_coding","3","185190623","3912","3q27.2"
"EHMT1","EHMT1","euchromatic histone lysine methyltransferase 1","protein_coding","9","137619004","2650","9q34.3"
"EHMT2","EHMT2","euchromatic histone lysine methyltransferase 2","protein_coding","6_GL000251v2_alt","3357184","3175","6p21.33"
"EIF1","EIF1","eukaryotic translation initiation factor 1","protein_coding","17","41688884","1244","17q21.2"
"EIF1AD","EIF1AD","eukaryotic translation initiation factor 1A domain containing","protein_coding","11","65996544","2830","11q13.1"
"EIF1AX","EIF1AX","eukaryotic translation initiation factor 1A X-linked","protein_coding","X","20124524","4431","Xp22.12"
"EIF1AY","EIF1AY","eukaryotic translation initiation factor 1A Y-linked","protein_coding","Y","20575710","1364","Yq11.223"
"EIF1B","EIF1B","eukaryotic translation initiation factor 1B","protein_coding","3","40309706","1012","3p22.1"
"EIF2AK2","EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2","protein_coding","2","37105140","3445","2p22.2"
"EIF2AK4","EIF2AK4","eukaryotic translation initiation factor 2 alpha kinase 4","protein_coding","15","39934114","3724","15q15.1"
"EIF2B1","EIF2B1","eukaryotic translation initiation factor 2B subunit alpha","protein_coding","12","123620405","1457","12q24.31"
"EIF2B2","EIF2B2","eukaryotic translation initiation factor 2B subunit beta","protein_coding","14","75002920","1541","14q24.3"
"EIF2B3","EIF2B3","eukaryotic translation initiation factor 2B subunit gamma","protein_coding","1","44874528","1847","1p34.1"
"EIF2B4","EIF2B4","eukaryotic translation initiation factor 2B subunit delta","protein_coding","2","27364351","2025","2p23.3"
"EIF2B5","EIF2B5","eukaryotic translation initiation factor 2B subunit epsilon","protein_coding","3","184135357","2426","3q27.1"
"EIF2D","EIF2D","eukaryotic translation initiation factor 2D","protein_coding","1","206591642","1728","1q32.1"
"EIF2S1","EIF2S1","eukaryotic translation initiation factor 2 subunit alpha","protein_coding","14","67360327","4165","14q23.3"
"EIF2S2","EIF2S2","eukaryotic translation initiation factor 2 subunit beta","protein_coding","20","34088308","2216","20q11.22"
"EIF2S3","EIF2S3","eukaryotic translation initiation factor 2 subunit gamma","protein_coding","X","24054955","3465","Xp22.11"
"EIF3B","EIF3B","eukaryotic translation initiation factor 3 subunit B","protein_coding","7","2354085","2294","7p22.3"
"EIF3C","EIF3C","eukaryotic translation initiation factor 3 subunit C","protein_coding","16","28379581","3124","16p11.2"
"EIF3D","EIF3D","eukaryotic translation initiation factor 3 subunit D","protein_coding","22","36510854","1741","22q12.3"
"EIF3E","EIF3E","eukaryotic translation initiation factor 3 subunit E","protein_coding","8","108201215","1611","8q23.1"
"EIF3F","EIF3F","eukaryotic translation initiation factor 3 subunit F","protein_coding","11","7987336","1644","11p15.4"
"EIF3G","EIF3G","eukaryotic translation initiation factor 3 subunit G","protein_coding","19","10115013","1010","19p13.2"
"EIF3H","EIF3H","eukaryotic translation initiation factor 3 subunit H","protein_coding","8","116642130","1460","8q23.3-q24.11"
"EIF3I","EIF3I","eukaryotic translation initiation factor 3 subunit I","protein_coding","1","32221583","1694","1p35.2"
"EIF3J","EIF3J","eukaryotic translation initiation factor 3 subunit J","protein_coding","15","44537067","2477","15q21.1"
"EIF3K","EIF3K","eukaryotic translation initiation factor 3 subunit K","protein_coding","19_KQ458386v1_fix","28823","1029","19q13.2"
"EIF3L","EIF3L","eukaryotic translation initiation factor 3 subunit L","protein_coding","22","37849418","2157","22q13.1"
"EIF3M","EIF3M","eukaryotic translation initiation factor 3 subunit M","protein_coding","11","32583830","1140","11p13"
"EIF4A1","EIF4A1","eukaryotic translation initiation factor 4A1","protein_coding","17","7572824","","17p13.1"
"EIF4A2","EIF4A2","eukaryotic translation initiation factor 4A2","protein_coding","3","186783576","2050","3q27.3"
"EIF4A3","EIF4A3","eukaryotic translation initiation factor 4A3","protein_coding","17","80134369","1660","17q25.3"
"EIF4B","EIF4B","eukaryotic translation initiation factor 4B","protein_coding","12","53006455","3311","12q13.13"
"EIF4E","EIF4E","eukaryotic translation initiation factor 4E","protein_coding","4","98871683","3912","4q23"
"EIF4E2","EIF4E2","eukaryotic translation initiation factor 4E family member 2","protein_coding","2","232550805","1838","2q37.1"
"EIF4E3","EIF4E3","eukaryotic translation initiation factor 4E family member 3","protein_coding","3","71675413","6148","3p13"
"EIF4EBP1","EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","protein_coding","8","38030533","859","8p11.23"
"EIF4EBP2","EIF4EBP2","eukaryotic translation initiation factor 4E binding protein 2","protein_coding","10","70404144","7531","10q22.1"
"EIF4EBP3","EIF4EBP3","eukaryotic translation initiation factor 4E binding protein 3","protein_coding","5","140547661","691","5q31.3"
"EIF4ENIF1","EIF4ENIF1","eukaryotic translation initiation factor 4E nuclear import factor 1","protein_coding","22","31439366","2678","22q12.2"
"EIF4G1","EIF4G1","eukaryotic translation initiation factor 4 gamma 1","protein_coding","3","184314605","4688","3q27.1"
"EIF4G2","EIF4G2","eukaryotic translation initiation factor 4 gamma 2","protein_coding","11","10797045","3520","11p15.4"
"EIF4G3","EIF4G3","eukaryotic translation initiation factor 4 gamma 3","protein_coding","1","20806291","4600","1p36.12"
"EIF5","EIF5","eukaryotic translation initiation factor 5","protein_coding","14","103334887","5915","14q32.32"
"EIF5A","EIF5A","eukaryotic translation initiation factor 5A","protein_coding","17","7306998","1232","17p13.1"
"EIF5A2","EIF5A2","eukaryotic translation initiation factor 5A2","protein_coding","3","170888417","5537","3q26.2"
"EIF5B","EIF5B","eukaryotic translation initiation factor 5B","protein_coding","2","99337388","3170","2q11.2"
"EIF6","EIF6","eukaryotic translation initiation factor 6","protein_coding","20","35278917","1052","20q11.22"
"ELAC1","ELAC1","elaC ribonuclease Z 1","protein_coding","18","50968039","1620","18q21.2"
"ELAC2","ELAC2","elaC ribonuclease Z 2","protein_coding","17","12991611","3550","17p12"
"ELAVL1","ELAVL1","ELAV like RNA binding protein 1","protein_coding","19","7958572","6058","19p13.2"
"ELF1","ELF1","E74 like ETS transcription factor 1","protein_coding","13","40931918","3658","13q14.11"
"ELF2","ELF2","E74 like ETS transcription factor 2","protein_coding","4","139057219","2894","4q31.1"
"ELF4","ELF4","E74 like ETS transcription factor 4","protein_coding","X","130063957","4137","Xq26.1"
"ELK1","ELK1","ETS transcription factor ELK1","protein_coding","X","47635519","3119","Xp11.23"
"ELL","ELL","elongation factor for RNA polymerase II","protein_coding","19","18442662","4019","19p13.11"
"ELMO1","ELMO1","engulfment and cell motility 1","protein_coding","7","36852905","4529","7p14.2-p14.1"
"ELMO2","ELMO2","engulfment and cell motility 2","protein_coding","20","46366050","2956","20q13.12"
"ELMOD2","ELMOD2","ELMO domain containing 2","protein_coding","4","140524167","4409","4q31.1"
"ELOF1","ELOF1","elongation factor 1 homolog","protein_coding","19","11553045","1098","19p13.2"
"ELOVL1","ELOVL1","ELOVL fatty acid elongase 1","protein_coding","1","43363396","1483","1p34.2"
"ELOVL5","ELOVL5","ELOVL fatty acid elongase 5","protein_coding","6","53267397","2160","6p12.1"
"ELP2","ELP2","elongator acetyltransferase complex subunit 2","protein_coding","18","36129898","2572","18q12.2"
"ELP3","ELP3","elongator acetyltransferase complex subunit 3","protein_coding","8","28093138","3107","8p21.1"
"ELP4","ELP4","elongator acetyltransferase complex subunit 4","protein_coding","11","31509766","1757","11p13"
"ELP5","ELP5","elongator acetyltransferase complex subunit 5","protein_coding","17","7252425","1543","17p13.1"
"ELP6","ELP6","elongator acetyltransferase complex subunit 6","protein_coding","3","47495639","1253","3p21.31"
"EMB","EMB","embigin","protein_coding","5","50396191","4108","5q11.1"
"EMC1","EMC1","ER membrane protein complex subunit 1","protein_coding","1","19215660","6343","1p36.13"
"EMC10","EMC10","ER membrane protein complex subunit 10","protein_coding","19","50476506","2053","19q13.33"
"EMC2","EMC2","ER membrane protein complex subunit 2","protein_coding","8","108443582","1238","8q23.1"
"EMC3","EMC3","ER membrane protein complex subunit 3","protein_coding","3","10006416","1486","3p25.3"
"EMC4","EMC4","ER membrane protein complex subunit 4","protein_coding","15","34225015","996","15q14"
"EMC6","EMC6","ER membrane protein complex subunit 6","protein_coding","17","3668722","732","17p13.2"
"EMC7","EMC7","ER membrane protein complex subunit 7","protein_coding","15","34084017","1053","15q14"
"EMC8","EMC8","ER membrane protein complex subunit 8","protein_coding","16","85778624","1916","16q24.1"
"EMC9","EMC9","ER membrane protein complex subunit 9","protein_coding","14","24138964","835","14q12"
"EMD","EMD","emerin","protein_coding","X","154379294","1339","Xq28"
"EMG1","EMG1","EMG1 N1-specific pseudouridine methyltransferase","protein_coding","12","6970912","1035","12p13.31"
"EML2","EML2","EMAP like 2","protein_coding","19","45609399","1949","19q13.32"
"EML3","EML3","EMAP like 3","protein_coding","11","62602217","2902","11q12.3"
"EML4","EML4","EMAP like 4","protein_coding","2","42169352","3978","2p21"
"EMP3","EMP3","epithelial membrane protein 3","protein_coding","19","48325998","829","19q13.33"
"EMSY","EMSY","EMSY transcriptional repressor, BRCA2 interacting","protein_coding","11","76445024","3617","11q13.5"
"ENDOD1","ENDOD1","endonuclease domain containing 1","protein_coding","11","95089845","4693","11q21"
"ENDOG","ENDOG","endonuclease G","protein_coding","9","128818499","1145","9q34.11"
"ENG","ENG","endoglin","protein_coding","9","127815011","2745","9q34.11"
"ENGASE","ENGASE","endo-beta-N-acetylglucosaminidase","protein_coding","17","79074823","3199","17q25.3"
"ENO1","ENO1","enolase 1","protein_coding","1","8860999","2051","1p36.23"
"ENO2","ENO2","enolase 2","protein_coding","12","6914579","2492","12p13.31"
"ENO3","ENO3","enolase 3","protein_coding","17","4951118","1352","17p13.2"
"ENOPH1","ENOPH1","enolase-phosphatase 1","protein_coding","4","82430589","1854","4q21.22"
"ENOSF1","ENOSF1","enolase superfamily member 1","protein_coding","18","670317","4265","18p11.32"
"ENOX2","ENOX2","ecto-NOX disulfide-thiol exchanger 2","protein_coding","X","130623380","3910","Xq26.1"
"ENPP4","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4","protein_coding","6","46129988","4680","6p21.1"
"ENSA","ENSA","endosulfine alpha","protein_coding","1","150623277","1755","1q21.3"
"ENY2","ENY2","ENY2 transcription and export complex 2 subunit","protein_coding","8","109334346","2890","8q23.1"
"EOGT","EOGT","EGF domain specific O-linked N-acetylglucosamine transferase","protein_coding","3","68975224","3532","3p14.1"
"EP300","EP300","E1A binding protein p300","protein_coding","22","41092591","8761","22q13.2"
"EP400","EP400","E1A binding protein p400","protein_coding","12","131949941","6349","12q24.33"
"EPB41","EPB41","erythrocyte membrane protein band 4.1","protein_coding","1","28887099","4752","1p35.3"
